id,pokedex_number,name,generation,status,species,type_number,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,growth_rate,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
10,8,Wartortle,1,Normal,Turtle,1,Water,None,1.0,22.5,2,Torrent,None,Rain Dish,405,59,63,80,65,80,58,45.0,70.0,142.0,Medium Slow,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
11,9,Blastoise,1,Normal,Shellfish,1,Water,None,1.6,85.5,2,Torrent,None,Rain Dish,530,79,83,100,85,105,78,45.0,70.0,239.0,Medium Slow,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
12,9,Mega Blastoise,1,Normal,Shellfish,1,Water,None,1.6,101.1,1,Mega Launcher,None,None,630,79,103,120,135,115,78,45.0,70.0,284.0,Medium Slow,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
13,10,Caterpie,1,Normal,Worm,1,Bug,None,0.3,2.9,2,Shield Dust,None,Run Away,195,45,30,35,20,20,45,255.0,70.0,39.0,Medium Fast,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
14,11,Metapod,1,Normal,Cocoon,1,Bug,None,0.7,9.9,1,Shed Skin,None,None,205,50,20,55,25,25,30,120.0,70.0,72.0,Medium Fast,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
15,12,Butterfree,1,Normal,Butterfly,2,Bug,Flying,1.1,32.0,2,Compound Eyes,None,Tinted Lens,395,60,45,50,90,80,70,45.0,70.0,178.0,Medium Fast,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
16,13,Weedle,1,Normal,Hairy Bug,2,Bug,Poison,0.3,3.2,2,Shield Dust,None,Run Away,195,40,35,30,20,20,50,255.0,70.0,39.0,Medium Fast,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
17,14,Kakuna,1,Normal,Cocoon,2,Bug,Poison,0.6,10.0,1,Shed Skin,None,None,205,45,25,50,25,25,35,120.0,70.0,72.0,Medium Fast,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
18,15,Beedrill,1,Normal,Poison Bee,2,Bug,Poison,1.0,29.5,2,Swarm,None,Sniper,395,65,90,40,45,80,75,45.0,70.0,178.0,Medium Fast,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
19,15,Mega Beedrill,1,Normal,Poison Bee,2,Bug,Poison,1.4,40.5,1,Adaptability,None,None,495,65,150,40,15,80,145,45.0,70.0,223.0,Medium Fast,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
20,16,Pidgey,1,Normal,Tiny Bird,2,Normal,Flying,0.3,1.8,3,Keen Eye,Tangled Feet,Big Pecks,251,40,45,40,35,35,56,255.0,70.0,50.0,Medium Slow,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
21,17,Pidgeotto,1,Normal,Bird,2,Normal,Flying,1.1,30.0,3,Keen Eye,Tangled Feet,Big Pecks,349,63,60,55,50,50,71,120.0,70.0,122.0,Medium Slow,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
22,18,Pidgeot,1,Normal,Bird,2,Normal,Flying,1.5,39.5,3,Keen Eye,Tangled Feet,Big Pecks,479,83,80,75,70,70,101,45.0,70.0,216.0,Medium Slow,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
23,18,Mega Pidgeot,1,Normal,Bird,2,Normal,Flying,2.2,50.5,1,No Guard,None,None,579,83,80,80,135,80,121,45.0,70.0,261.0,Medium Slow,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
24,19,Rattata,1,Normal,Mouse,1,Normal,None,0.3,3.5,3,Run Away,Guts,Hustle,253,30,56,35,25,35,72,255.0,70.0,51.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
25,19,Alolan Rattata,1,Normal,Mouse,2,Dark,Normal,0.3,3.8,3,Gluttony,Hustle,Thick Fat,253,30,56,35,25,35,72,255.0,70.0,51.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0
26,20,Raticate,1,Normal,Mouse,1,Normal,None,0.7,18.5,3,Run Away,Guts,Hustle,413,55,81,60,50,70,97,127.0,70.0,145.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
27,20,Alolan Raticate,1,Normal,Mouse,2,Dark,Normal,0.7,25.5,3,Gluttony,Hustle,Thick Fat,413,75,71,70,40,80,77,127.0,70.0,145.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0
28,21,Spearow,1,Normal,Tiny Bird,2,Normal,Flying,0.3,2.0,2,Keen Eye,None,Sniper,262,40,60,30,31,31,70,255.0,70.0,52.0,Medium Fast,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
29,22,Fearow,1,Normal,Beak,2,Normal,Flying,1.2,38.0,2,Keen Eye,None,Sniper,442,65,90,65,61,61,100,90.0,70.0,155.0,Medium Fast,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
30,23,Ekans,1,Normal,Snake,1,Poison,None,2.0,6.9,3,Intimidate,Shed Skin,Unnerve,288,35,60,44,40,54,55,255.0,70.0,58.0,Medium Fast,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
31,24,Arbok,1,Normal,Cobra,1,Poison,None,3.5,65.0,3,Intimidate,Shed Skin,Unnerve,448,60,95,69,65,79,80,90.0,70.0,157.0,Medium Fast,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
32,25,Pikachu,1,Normal,Mouse,1,Electric,None,0.4,6.0,2,Static,None,Lightning Rod,320,35,55,40,50,50,90,190.0,70.0,112.0,Medium Fast,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
33,25,Partner Pikachu,1,Normal,Mouse,1,Electric,None,0.4,6.0,1,None,None,Lightning Rod,430,45,80,50,75,60,120,190.0,70.0,112.0,Medium Fast,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
34,26,Raichu,1,Normal,Mouse,1,Electric,None,0.8,30.0,2,Static,None,Lightning Rod,485,60,90,55,90,80,110,75.0,70.0,218.0,Medium Fast,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
35,26,Alolan Raichu,1,Normal,Mouse,2,Electric,Psychic,0.7,21.0,1,Surge Surfer,None,None,485,60,85,50,95,85,110,75.0,70.0,218.0,Medium Fast,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
36,27,Sandshrew,1,Normal,Mouse,1,Ground,None,0.6,12.0,2,Sand Veil,None,Sand Rush,300,50,75,85,20,30,40,255.0,70.0,60.0,Medium Fast,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
37,27,Alolan Sandshrew,1,Normal,Mouse,2,Ice,Steel,0.7,40.0,2,Snow Cloak,None,Slush Rush,300,50,75,90,10,35,40,255.0,70.0,60.0,Medium Fast,0.5,4.0,1.0,1.0,0.5,0.25,4.0,0.0,2.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5
38,28,Sandslash,1,Normal,Mouse,1,Ground,None,1.0,29.5,2,Sand Veil,None,Sand Rush,450,75,100,110,45,55,65,90.0,70.0,158.0,Medium Fast,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
39,28,Alolan Sandslash,1,Normal,Mouse,2,Ice,Steel,1.2,55.0,2,Snow Cloak,None,Slush Rush,450,75,100,120,25,65,65,90.0,70.0,158.0,Medium Fast,0.5,4.0,1.0,1.0,0.5,0.25,4.0,0.0,2.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5
40,29,Nidoran♀,1,Normal,Poison Pin,1,Poison,None,0.4,7.0,3,Poison Point,Rivalry,Hustle,275,55,47,52,40,40,41,235.0,70.0,55.0,Medium Slow,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
41,30,Nidorina,1,Normal,Poison Pin,1,Poison,None,0.8,20.0,3,Poison Point,Rivalry,Hustle,365,70,62,67,55,55,56,120.0,70.0,128.0,Medium Slow,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
42,31,Nidoqueen,1,Normal,Drill,2,Poison,Ground,1.3,60.0,3,Poison Point,Rivalry,Sheer Force,505,90,92,87,75,85,76,45.0,70.0,227.0,Medium Slow,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5
43,32,Nidoran♂,1,Normal,Poison Pin,1,Poison,None,0.5,9.0,3,Poison Point,Rivalry,Hustle,273,46,57,40,40,40,50,235.0,70.0,55.0,Medium Slow,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
44,33,Nidorino,1,Normal,Poison Pin,1,Poison,None,0.9,19.5,3,Poison Point,Rivalry,Hustle,365,61,72,57,55,55,65,120.0,70.0,128.0,Medium Slow,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
45,34,Nidoking,1,Normal,Drill,2,Poison,Ground,1.4,62.0,3,Poison Point,Rivalry,Sheer Force,505,81,102,77,85,75,85,45.0,70.0,227.0,Medium Slow,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5
46,35,Clefairy,1,Normal,Fairy,1,Fairy,None,0.6,7.5,3,Cute Charm,Magic Guard,Friend Guard,323,70,45,48,60,65,35,150.0,140.0,113.0,Fast,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
47,36,Clefable,1,Normal,Fairy,1,Fairy,None,1.3,40.0,3,Cute Charm,Magic Guard,Unaware,483,95,70,73,95,90,60,25.0,140.0,217.0,Fast,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
48,37,Vulpix,1,Normal,Fox,1,Fire,None,0.6,9.9,2,Flash Fire,None,Drought,299,38,41,40,50,65,65,190.0,70.0,60.0,Medium Fast,1.0,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
49,37,Alolan Vulpix,1,Normal,Fox,1,Ice,None,0.6,9.9,2,Snow Cloak,None,Snow Warning,299,38,41,40,50,65,65,190.0,70.0,60.0,Medium Fast,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
50,38,Ninetales,1,Normal,Fox,1,Fire,None,1.1,19.9,2,Flash Fire,None,Drought,505,73,76,75,81,100,100,75.0,70.0,177.0,Medium Fast,1.0,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
51,38,Alolan Ninetales,1,Normal,Fox,2,Ice,Fairy,1.1,19.9,2,Snow Cloak,None,Snow Warning,505,73,67,75,81,100,109,75.0,70.0,177.0,Medium Fast,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
52,39,Jigglypuff,1,Normal,Balloon,2,Normal,Fairy,0.5,5.5,3,Cute Charm,Competitive,Friend Guard,270,115,45,20,45,25,20,170.0,70.0,95.0,Fast,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0
53,40,Wigglytuff,1,Normal,Balloon,2,Normal,Fairy,1.0,12.0,3,Cute Charm,Competitive,Frisk,435,140,70,45,85,50,45,50.0,70.0,196.0,Fast,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0
54,41,Zubat,1,Normal,Bat,2,Poison,Flying,0.8,7.5,2,Inner Focus,None,Infiltrator,245,40,45,35,30,40,55,255.0,70.0,49.0,Medium Fast,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5
55,42,Golbat,1,Normal,Bat,2,Poison,Flying,1.6,55.0,2,Inner Focus,None,Infiltrator,455,75,80,70,65,75,90,90.0,70.0,159.0,Medium Fast,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5
56,43,Oddish,1,Normal,Weed,2,Grass,Poison,0.5,5.4,2,Chlorophyll,None,Run Away,320,45,50,55,75,65,30,255.0,70.0,64.0,Medium Slow,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
57,44,Gloom,1,Normal,Weed,2,Grass,Poison,0.8,8.6,2,Chlorophyll,None,Stench,395,60,65,70,85,75,40,120.0,70.0,138.0,Medium Slow,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
58,45,Vileplume,1,Normal,Flower,2,Grass,Poison,1.2,18.6,2,Chlorophyll,None,Effect Spore,490,75,80,85,110,90,50,45.0,70.0,221.0,Medium Slow,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
59,46,Paras,1,Normal,Mushroom,2,Bug,Grass,0.3,5.4,3,Effect Spore,Dry Skin,Damp,285,35,70,55,45,55,25,190.0,70.0,57.0,Medium Fast,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
60,47,Parasect,1,Normal,Mushroom,2,Bug,Grass,1.0,29.5,3,Effect Spore,Dry Skin,Damp,405,60,95,80,60,80,30,75.0,70.0,142.0,Medium Fast,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
61,48,Venonat,1,Normal,Insect,2,Bug,Poison,1.0,30.0,3,Compound Eyes,Tinted Lens,Run Away,305,60,55,50,40,55,45,190.0,70.0,61.0,Medium Fast,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
62,49,Venomoth,1,Normal,Poison Moth,2,Bug,Poison,1.5,12.5,3,Shield Dust,Tinted Lens,Wonder Skin,450,70,65,60,90,75,90,75.0,70.0,158.0,Medium Fast,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
63,50,Diglett,1,Normal,Mole,1,Ground,None,0.2,0.8,3,Sand Veil,Arena Trap,Sand Force,265,10,55,25,35,45,95,255.0,70.0,53.0,Medium Fast,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
64,50,Alolan Diglett,1,Normal,Mole,2,Ground,Steel,0.2,1.0,3,Sand Veil,Tangling Hair,Sand Force,265,10,55,30,35,45,90,255.0,70.0,53.0,Medium Fast,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5
65,51,Dugtrio,1,Normal,Mole,1,Ground,None,0.7,33.3,3,Sand Veil,Arena Trap,Sand Force,425,35,100,50,50,70,120,50.0,70.0,149.0,Medium Fast,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
66,51,Alolan Dugtrio,1,Normal,Mole,2,Ground,Steel,0.7,66.6,3,Sand Veil,Tangling Hair,Sand Force,425,35,100,60,50,70,110,50.0,70.0,149.0,Medium Fast,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5
67,52,Meowth,1,Normal,Scratch Cat,1,Normal,None,0.4,4.2,3,Pickup,Technician,Unnerve,290,40,45,35,40,40,90,255.0,70.0,58.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
68,52,Alolan Meowth,1,Normal,Scratch Cat,1,Dark,None,0.4,4.2,3,Pickup,Technician,Rattled,290,40,35,35,50,40,90,255.0,70.0,58.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
69,52,Galarian Meowth,1,Normal,Scratch Cat,1,Steel,None,0.4,7.5,3,Pickup,Tough Claws,Unnerve,290,50,65,55,40,40,40,,,,Medium Fast,0.5,2.0,1.0,1.0,0.5,0.5,2.0,0.0,2.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5
70,53,Persian,1,Normal,Classy Cat,1,Normal,None,1.0,32.0,3,Limber,Technician,Unnerve,440,65,70,60,65,65,115,90.0,70.0,154.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
71,53,Alolan Persian,1,Normal,Classy Cat,1,Dark,None,1.1,33.0,3,Fur Coat,Technician,Rattled,440,65,60,60,75,65,115,90.0,70.0,154.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
72,54,Psyduck,1,Normal,Duck,1,Water,None,0.8,19.6,3,Damp,Cloud Nine,Swift Swim,320,50,52,48,65,50,55,190.0,70.0,64.0,Medium Fast,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
73,55,Golduck,1,Normal,Duck,1,Water,None,1.7,76.6,3,Damp,Cloud Nine,Swift Swim,500,80,82,78,95,80,85,75.0,70.0,175.0,Medium Fast,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
74,56,Mankey,1,Normal,Pig Monkey,1,Fighting,None,0.5,28.0,3,Vital Spirit,Anger Point,Defiant,305,40,80,35,35,45,70,190.0,70.0,61.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
75,57,Primeape,1,Normal,Pig Monkey,1,Fighting,None,1.0,32.0,3,Vital Spirit,Anger Point,Defiant,455,65,105,60,60,70,95,75.0,70.0,159.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
76,58,Growlithe,1,Normal,Puppy,1,Fire,None,0.7,19.0,3,Intimidate,Flash Fire,Justified,350,55,70,45,70,50,60,190.0,70.0,70.0,Slow,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
77,59,Arcanine,1,Normal,Legendary,1,Fire,None,1.9,155.0,3,Intimidate,Flash Fire,Justified,555,90,110,80,100,80,95,75.0,70.0,194.0,Slow,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
78,60,Poliwag,1,Normal,Tadpole,1,Water,None,0.6,12.4,3,Water Absorb,Damp,Swift Swim,300,40,50,40,40,40,90,255.0,70.0,60.0,Medium Slow,1.0,0.5,0.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
79,61,Poliwhirl,1,Normal,Tadpole,1,Water,None,1.0,20.0,3,Water Absorb,Damp,Swift Swim,385,65,65,65,50,50,90,120.0,70.0,135.0,Medium Slow,1.0,0.5,0.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
80,62,Poliwrath,1,Normal,Tadpole,2,Water,Fighting,1.3,54.0,3,Water Absorb,Damp,Swift Swim,510,90,95,95,70,90,70,45.0,70.0,230.0,Medium Slow,1.0,0.5,0.0,2.0,2.0,0.5,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,0.5,2.0
81,63,Abra,1,Normal,Psi,1,Psychic,None,0.9,19.5,3,Synchronize,Inner Focus,Magic Guard,310,25,20,15,105,55,90,200.0,70.0,62.0,Medium Slow,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
82,64,Kadabra,1,Normal,Psi,1,Psychic,None,1.3,56.5,3,Synchronize,Inner Focus,Magic Guard,400,40,35,30,120,70,105,100.0,70.0,140.0,Medium Slow,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
